year,resp_id,agency,LOAN_TYPE,prop_type,PURPOSE,OCCUPANCY,AMNTCH,amnt,pre_app,ACTION,ma,state,county,tract,app_eth,coapp_eth,app_race1,app_race2,app_race3,app_race4,app_race5,coap_race1,coap_race2,coap_race3,coap_race4,coap_race5,app_sex,coapp_sex,app_incch,app_inc,purch_type,denial1,denial2,denial3,spreadch,spread,hoepa,lienstatus,EDITSTATUS,seqno,POPCH,POP,MINPOPCH,MINPOP,MED_INCCH,MED_INC,TCT2MSACH,TCT2MSA,OWNOCCCH,OWNOCC,OWNOCC4CH,OWNOCC4,app_flag
2011,0000451965,9,1,1,1,1,00264,264,3,6,34820,45,051,0516.02,4,4,7, , , , ,7, , , , ,4,4,NA  ,,0, , , ,NA   ,,2,4, ,0101347,00007371,7371,010.53,10.53,00054300,54300,108.36,108.36,00002824,2824,00003726,3726,2
2011,0000451965,9,1,1,1,2,00145,145,3,6,34820,45,051,0513.00,4,4,7, , , , ,7, , , , ,4,4,NA  ,,0, , , ,NA   ,,2,4, ,0101355,00004396,4396,002.66,2.66,00054300,54300,109.59,109.59,00001626,1626,00004152,4152,2
2011,0000451965,9,1,1,1,2,00093,93,3,6,34820,45,051,0514.01,4,4,7, , , , ,7, , , , ,4,4,NA  ,,0, , , ,NA   ,,2,4, ,0101361,00006294,6294,004.35,4.35,00054300,54300,094.06,94.06,00002609,2609,00002631,2631,2
2011,0000451965,9,1,1,1,1,00108,108,3,6,34820,45,051,0514.02,4,4,7, , , , ,7, , , , ,4,4,NA  ,,0, , , ,NA   ,,2,4, ,0101366,00006972,6972,007.09,7.09,00054300,54300,131.35,131.35,00002375,2375,00002796,2796,2
2011,0000451965,9,2,1,1,1,00165,165,3,6,34820,45,051,0602.02,4,4,7, , , , ,7, , , , ,4,4,NA  ,,0, , , ,NA   ,,2,4, ,0102125,00003338,3338,014.44,14.44,00054300,54300,100.73,100.73,00000778,778,00000879,879,2
2011,0000451965,9,1,1,1,2,00099,99,3,6,34820,45,051,0602.01,4,4,7, , , , ,7, , , , ,4,4,NA  ,,0, , , ,NA   ,,2,4, ,0102341,00007049,7049,011.59,11.59,00054300,54300,107.08,107.08,00001867,1867,00002338,2338,2
2011,0000451965,9,1,1,3,2,00104,104,3,6,34820,45,051,0602.01,4,4,7, , , , ,7, , , , ,4,4,NA  ,,0, , , ,NA   ,,2,4, ,0102473,00007049,7049,011.59,11.59,00054300,54300,107.08,107.08,00001867,1867,00002338,2338,2
2011,0000451965,9,2,1,1,1,00157,157,3,6,34820,45,051,0515.00,4,4,7, , , , ,7, , , , ,4,4,NA  ,,0, , , ,NA   ,,2,4, ,0103755,00010010,10010,017.69,17.69,00054300,54300,109.78,109.78,00002654,2654,00003800,3800,2
2011,0000451965,9,2,1,1,1,00173,173,3,6,34820,45,051,0602.02,4,4,7, , , , ,7, , , , ,4,4,NA  ,,0, , , ,NA   ,,2,4, ,0104193,00003338,3338,014.44,14.44,00054300,54300,100.73,100.73,00000778,778,00000879,879,2
2011,0000451965,9,2,1,3,1,00198,198,3,6,34820,45,051,0704.00,4,4,7, , , , ,7, , , , ,4,4,NA  ,,0, , , ,NA   ,,2,4, ,0104397,00003412,3412,072.07,72.07,00054300,54300,065.74,65.74,00000742,742,00001262,1262,2
2011,0000451965,9,2,1,1,1,00146,146,3,6,34820,45,051,0602.01,4,4,7, , , , ,7, , , , ,4,4,NA  ,,0, , , ,NA   ,,2,4, ,0104942,00007049,7049,011.59,11.59,00054300,54300,107.08,107.08,00001867,1867,00002338,2338,2
2011,0000451965,9,2,1,3,1,00232,232,3,6,34820,45,051,0512.00,4,4,7, , , , ,7, , , , ,4,4,NA  ,,0, , , ,NA   ,,2,4, ,0105233,00004127,4127,003.88,3.88,00054300,54300,121.81,121.81,00001277,1277,00003041,3041,2
2011,0000451965,9,2,1,3,1,00115,115,3,6,34820,45,051,0604.01,4,4,7, , , , ,7, , , , ,4,4,NA  ,,0, , , ,NA   ,,2,4, ,0106611,00002847,2847,011.42,11.42,00054300,54300,101.82,101.82,00000933,933,00001426,1426,2
2011,0000451965,9,2,1,1,1,00117,117,3,6,34820,45,051,0602.01,4,4,7, , , , ,7, , , , ,4,4,NA  ,,0, , , ,NA   ,,2,4, ,0110611,00007049,7049,011.59,11.59,00054300,54300,107.08,107.08,00001867,1867,00002338,2338,2
2011,0000451965,9,1,1,3,2,00201,201,3,6,34820,45,051,0502.00,4,4,7, , , , ,7, , , , ,4,4,NA  ,,0, , , ,NA   ,,2,4, ,0111195,00001475,1475,005.42,5.42,00054300,54300,150.07,150.07,00000569,569,00000830,830,2
2011,0000451965,9,2,1,1,1,00172,172,3,6,34820,45,051,0602.02,4,4,7, , , , ,7, , , , ,4,4,NA  ,,0, , , ,NA   ,,2,4, ,0111502,00003338,3338,014.44,14.44,00054300,54300,100.73,100.73,00000778,778,00000879,879,2
2011,0000451965,9,1,1,3,1,00068,68,3,6,34820,45,051,0511.00,4,4,7, , , , ,7, , , , ,4,4,NA  ,,0, , , ,NA   ,,2,4, ,0113551,00000948,948,002.53,2.53,00054300,54300,103.95,103.95,00000441,441,00001970,1970,2
2011,0000451965,9,1,1,3,1,00042,42,3,6,34820,45,051,0513.00,4,4,7, , , , ,7, , , , ,4,4,NA  ,,0, , , ,NA   ,,2,4, ,0113568,00004396,4396,002.66,2.66,00054300,54300,109.59,109.59,00001626,1626,00004152,4152,2
2011,0000451965,9,3,1,1,1,00082,82,3,6,34820,45,051,0702.00,4,4,7, , , , ,7, , , , ,4,4,NA  ,,0, , , ,NA   ,,2,4, ,0114815,00002944,2944,010.94,10.94,00054300,54300,127.62,127.62,00000922,922,00001237,1237,2
2011,0000451965,9,2,1,1,1,00290,290,3,6,34820,45,051,0602.02,4,4,7, , , , ,7, , , , ,4,4,NA  ,,0, , , ,NA   ,,2,4, ,0116340,00003338,3338,014.44,14.44,00054300,54300,100.73,100.73,00000778,778,00000879,879,2
2011,0000451965,9,1,1,1,1,00090,90,3,6,34820,45,051,0602.01,4,4,7, , , , ,7, , , , ,4,4,NA  ,,0, , , ,NA   ,,2,4, ,0116599,00007049,7049,011.59,11.59,00054300,54300,107.08,107.08,00001867,1867,00002338,2338,2
2011,0000451965,9,1,1,1,2,00026,26,3,6,34820,45,051,0514.02,4,4,7, , , , ,7, , , , ,4,4,NA  ,,6, , , ,NA   ,,2,4, ,0116882,00006972,6972,007.09,7.09,00054300,54300,131.35,131.35,00002375,2375,00002796,2796,2
2011,0000451965,9,2,1,1,1,00108,108,3,6,34820,45,051,0504.00,4,4,7, , , , ,7, , , , ,4,4,NA  ,,0, , , ,NA   ,,2,4, ,0117769,00004328,4328,006.03,6.03,00054300,54300,147.11,147.11,00001244,1244,00001691,1691,2
2011,0000451965,9,2,1,3,1,00100,100,3,6,34820,45,051,0514.01,4,4,7, , , , ,7, , , , ,4,4,NA  ,,0, , , ,NA   ,,2,4, ,0117845,00006294,6294,004.35,4.35,00054300,54300,094.06,94.06,00002609,2609,00002631,2631,2
2011,0000451965,9,2,1,1,1,00183,183,3,6,34820,45,051,0604.02,4,4,7, , , , ,7, , , , ,4,4,NA  ,,0, , , ,NA   ,,2,4, ,0118952,00008245,8245,014.21,14.21,00054300,54300,110.63,110.63,00002344,2344,00003014,3014,2
2011,0000451965,9,1,1,3,2,00162,162,3,6,34820,45,051,0514.02,4,4,7, , , , ,7, , , , ,4,4,NA  ,,0, , , ,NA   ,,2,4, ,0118972,00006972,6972,007.09,7.09,00054300,54300,131.35,131.35,00002375,2375,00002796,2796,2
2011,0000451965,9,2,1,1,1,00151,151,3,6,34820,45,051,0301.00,4,4,7, , , , ,7, , , , ,4,4,NA  ,,0, , , ,NA   ,,2,4, ,0120198,00005625,5625,046.15,46.15,00054300,54300,080.07,80.07,00001767,1767,00002300,2300,2
2011,0000451965,9,1,1,1,1,00176,176,3,6,34820,45,051,0504.00,4,4,7, , , , ,7, , , , ,4,4,NA  ,,0, , , ,NA   ,,2,4, ,0120784,00004328,4328,006.03,6.03,00054300,54300,147.11,147.11,00001244,1244,00001691,1691,2
2011,0000451965,9,1,1,1,1,00100,100,3,6,34820,45,051,0503.00,4,4,7, , , , ,7, , , , ,4,4,NA  ,,9, , , ,NA   ,,2,4, ,0120788,00002534,2534,003.51,3.51,00054300,54300,147.87,147.87,00000965,965,00001076,1076,2
2011,0000451965,9,1,1,1,1,00166,166,3,6,34820,45,051,0602.01,2,5,5, , , , ,8, , , , ,1,5,0035,35,0, , , ,NA   ,,2,4, ,0128819,00007049,7049,011.59,11.59,00054300,54300,107.08,107.08,00001867,1867,00002338,2338,2
2011,0000451965,9,1,1,3,1,00187,187,3,6,34820,45,051,0602.02,3,5,6, , , , ,8, , , , ,3,5,0060,60,0, , , ,NA   ,,2,4, ,0129259,00003338,3338,014.44,14.44,00054300,54300,100.73,100.73,00000778,778,00000879,879,2
2011,0000451965,9,1,1,3,1,00448,448,3,6,34820,45,051,0603.00,2,5,5, , , , ,8, , , , ,2,5,0203,203,0, , , ,NA   ,,2,4, ,0129325,00005208,5208,040.73,40.73,00054300,54300,094.72,94.72,00001613,1613,00002114,2114,2
2011,0000451965,9,1,1,3,1,00088,88,3,6,34820,45,051,0515.00,2,5,5, , , , ,8, , , , ,1,5,0082,82,0, , , ,NA   ,,2,4, ,0129566,00010010,10010,017.69,17.69,00054300,54300,109.78,109.78,00002654,2654,00003800,3800,2
2011,0000451965,9,1,1,1,2,01430,1430,2,3,34820,45,051,0603.00,2,5,5, , , , ,8, , , , ,2,5,0576,576,0,3, , ,NA   ,,2,1,6,0130314,00005208,5208,040.73,40.73,00054300,54300,094.72,94.72,00001613,1613,00002114,2114,0
2011,0000451965,9,1,1,3,1,00112,112,3,1,34820,45,051,0702.00,2,2,5, , , , ,5, , , , ,1,2,0084,84,1, , , ,NA   ,,2,1, ,0131864,00002944,2944,010.94,10.94,00054300,54300,127.62,127.62,00000922,922,00001237,1237,0
2011,0000451965,9,1,1,3,2,00082,82,3,1,34820,45,051,0509.00,2,2,5, , , , ,5, , , , ,1,2,0098,98,3, , , ,NA   ,,2,1, ,0132099,00005403,5403,026.32,26.32,00054300,54300,077.69,77.69,00001364,1364,00002207,2207,0
2011,0000451965,9,1,1,1,2,00268,268,2,1,34820,45,051,0602.01,2,2,5, , , , ,5, , , , ,1,2,0140,140,1, , , ,NA   ,,2,1, ,0132565,00007049,7049,011.59,11.59,00054300,54300,107.08,107.08,00001867,1867,00002338,2338,0
2011,0000451965,9,1,1,3,2,00370,370,3,3,34820,45,051,0402.00,2,2,5, , , , ,5, , , , ,2,1,0225,225,0,9, , ,NA   ,,2,1, ,0132666,00003428,3428,012.78,12.78,00054300,54300,117.12,117.12,00001202,1202,00003560,3560,0
2011,0000451965,9,1,1,3,2,00147,147,3,1,34820,45,051,0602.02,2,2,5, , , , ,5, , , , ,1,2,0083,83,3, , , ,NA   ,,2,1, ,0132804,00003338,3338,014.44,14.44,00054300,54300,100.73,100.73,00000778,778,00000879,879,0
2011,0000451965,9,1,1,3,2,00091,91,3,1,34820,45,051,0603.00,2,2,5, , , , ,5, , , , ,1,2,0175,175,1, , , ,NA   ,,2,1, ,0133037,00005208,5208,040.73,40.73,00054300,54300,094.72,94.72,00001613,1613,00002114,2114,0
2011,0000451965,9,1,1,3,2,00349,349,3,3,34820,45,051,0404.00,2,2,5, , , , ,5, , , , ,1,2,0300,300,0,4, , ,NA   ,,2,1, ,0133791,00003417,3417,006.56,6.56,00054300,54300,096.34,96.34,00001086,1086,00002806,2806,0
2011,0000451965,9,1,1,1,2,00150,150,2,3,34820,45,051,0506.00,3,5,6, , , , ,8, , , , ,1,5,0350,350,0,4, , ,NA   ,,2,1, ,0134190,00003705,3705,064.94,64.94,00054300,54300,071.66,71.66,00000511,511,00001029,1029,0
2011,0000451965,9,1,1,3,1,00223,223,3,1,34820,45,051,0602.02,2,5,5, , , , ,8, , , , ,1,5,0080,80,1, , , ,NA   ,,2,1, ,0135544,00003338,3338,014.44,14.44,00054300,54300,100.73,100.73,00000778,778,00000879,879,0
2011,0000451965,9,1,1,3,1,00197,197,3,1,34820,45,051,0401.00,2,5,5, , , , ,8, , , , ,1,5,0095,95,3, , , ,NA   ,,2,1, ,0136683,00012738,12738,020.47,20.47,00054300,54300,102.79,102.79,00004668,4668,00005586,5586,0
2011,0000451965,9,1,1,3,2,00116,116,3,3,34820,45,051,0502.00,3,5,6, , , , ,8, , , , ,3,5,0050,50,0,1,6, ,NA   ,,2,1, ,0137033,00001475,1475,005.42,5.42,00054300,54300,150.07,150.07,00000569,569,00000830,830,0
2011,0000451965,9,1,1,3,2,00300,300,3,4,34820,45,051,0513.00,3,3,6, , , , ,6, , , , ,3,3,0263,263,0, , , ,NA   ,,2,1, ,0140211,00004396,4396,002.66,2.66,00054300,54300,109.59,109.59,00001626,1626,00004152,4152,0
2011,0000451965,9,1,1,1,1,00086,86,2,1,34820,45,051,0515.00,2,2,5, , , , ,5, , , , ,1,2,0033,33,1, , , ,NA   ,,2,1, ,0141199,00010010,10010,017.69,17.69,00054300,54300,109.78,109.78,00002654,2654,00003800,3800,0
2011,0000451965,9,1,1,1,2,00071,71,2,3,34820,45,051,0516.02,2,2,5, , , , ,5, , , , ,1,2,0213,213,0,3, , ,NA   ,,2,1, ,0150416,00007371,7371,010.53,10.53,00054300,54300,108.36,108.36,00002824,2824,00003726,3726,0
2011,0000451965,9,1,1,1,2,00100,100,2,4,34820,45,051,0402.00,2,2,5, , , , ,5, , , , ,1,2,0344,344,0, , , ,NA   ,,2,1, ,0152413,00003428,3428,012.78,12.78,00054300,54300,117.12,117.12,00001202,1202,00003560,3560,0
2011,0000451965,9,1,1,1,2,00081,81,2,3,34820,45,051,0602.02,2,5,5, , , , ,8, , , , ,1,5,0102,102,0,4, , ,NA   ,,2,1, ,0155665,00003338,3338,014.44,14.44,00054300,54300,100.73,100.73,00000778,778,00000879,879,0
2011,0000451965,9,1,1,3,2,00090,90,3,3,34820,45,051,0515.00,2,2,5, , , , ,5, , , , ,2,1,0044,44,0,6, , ,NA   ,,2,1, ,0156006,00010010,10010,017.69,17.69,00054300,54300,109.78,109.78,00002654,2654,00003800,3800,0
2011,0000451965,9,1,1,3,2,00140,140,3,3,34820,45,051,0403.00,2,5,5, , , , ,8, , , , ,1,5,0300,300,0,4, , ,NA   ,,2,1, ,0159126,00002955,2955,003.86,3.86,00054300,54300,116.36,116.36,00001231,1231,00002630,2630,0
2011,0000451965,9,1,1,3,2,00072,72,3,1,34820,45,051,0403.00,2,5,5, , , , ,8, , , , ,2,5,0049,49,0, , , ,NA   ,,2,1, ,0159408,00002955,2955,003.86,3.86,00054300,54300,116.36,116.36,00001231,1231,00002630,2630,0
2011,0000451965,9,1,1,3,1,00140,140,3,1,34820,45,051,0603.00,2,2,5, , , , ,5, , , , ,1,2,0041,41,1, , , ,NA   ,,2,1, ,0160096,00005208,5208,040.73,40.73,00054300,54300,094.72,94.72,00001613,1613,00002114,2114,0
2011,0000451965,9,1,1,3,1,00112,112,3,2,34820,45,051,0512.00,2,2,5, , , , ,5, , , , ,1,2,0106,106,0, , , ,NA   ,,2,1, ,0160444,00004127,4127,003.88,3.88,00054300,54300,121.81,121.81,00001277,1277,00003041,3041,0
2011,0000451965,9,1,1,3,1,00098,98,3,1,34820,45,051,0516.02,2,2,5, , , , ,5, , , , ,1,2,0061,61,1, , , ,NA   ,,2,1, ,0160751,00007371,7371,010.53,10.53,00054300,54300,108.36,108.36,00002824,2824,00003726,3726,0
2011,0000451965,9,1,1,3,2,00180,180,3,1,34820,45,051,0603.00,2,2,5, , , , ,5, , , , ,2,1,0133,133,1, , , ,NA   ,,2,1, ,0161534,00005208,5208,040.73,40.73,00054300,54300,094.72,94.72,00001613,1613,00002114,2114,0
2011,0000451965,9,1,1,3,1,00053,53,3,3,34820,45,051,0514.02,2,5,5, , , , ,8, , , , ,2,5,0030,30,0,3,1, ,NA   ,,2,1, ,0162615,00006972,6972,007.09,7.09,00054300,54300,131.35,131.35,00002375,2375,00002796,2796,0
2011,0000451965,9,1,1,3,2,00158,158,3,1,34820,45,051,0403.00,2,5,5, , , , ,8, , , , ,2,5,0094,94,3, , , ,NA   ,,2,1, ,0163973,00002955,2955,003.86,3.86,00054300,54300,116.36,116.36,00001231,1231,00002630,2630,0
2011,0000451965,9,1,1,3,1,00107,107,3,1,34820,45,051,0707.00,2,5,5, , , , ,8, , , , ,1,5,0045,45,3, , , ,NA   ,,2,1, ,0164511,00008445,8445,022.75,22.75,00054300,54300,087.13,87.13,00002410,2410,00003253,3253,0
2011,0000451965,9,1,1,3,1,00111,111,3,1,34820,45,051,0401.00,2,2,5, , , , ,5, , , , ,2,1,0071,71,3, , , ,NA   ,,2,1, ,0165352,00012738,12738,020.47,20.47,00054300,54300,102.79,102.79,00004668,4668,00005586,5586,0
2011,0000451965,9,1,1,3,1,00099,99,3,1,34820,45,051,0401.00,2,2,5, , , , ,5, , , , ,2,1,0116,116,3, , , ,NA   ,,2,1, ,0165415,00012738,12738,020.47,20.47,00054300,54300,102.79,102.79,00004668,4668,00005586,5586,0
2011,0000451965,9,1,1,3,2,00139,139,3,1,34820,45,051,0602.02,2,2,5, , , , ,5, , , , ,1,2,0133,133,3, , , ,NA   ,,2,1, ,0166000,00003338,3338,014.44,14.44,00054300,54300,100.73,100.73,00000778,778,00000879,879,0
2011,0000451965,9,1,1,3,2,00267,267,3,2,34820,45,051,0604.02,2,2,5, , , , ,5, , , , ,2,1,0140,140,0, , , ,NA   ,,2,1, ,0166302,00008245,8245,014.21,14.21,00054300,54300,110.63,110.63,00002344,2344,00003014,3014,0
2011,0000451965,9,1,1,3,2,00201,201,3,1,34820,45,051,0403.00,2,2,5, , , , ,5, , , , ,1,2,0166,166,1, , , ,NA   ,,2,1, ,0166423,00002955,2955,003.86,3.86,00054300,54300,116.36,116.36,00001231,1231,00002630,2630,0
2011,0000451965,9,1,1,1,1,00306,306,2,1,34820,45,051,0602.02,2,2,5, , , , ,5, , , , ,2,1,0085,85,1, , , ,NA   ,,2,1, ,0167387,00003338,3338,014.44,14.44,00054300,54300,100.73,100.73,00000778,778,00000879,879,0
2011,0000451965,9,1,1,3,1,00205,205,3,1,34820,45,051,0602.02,3,3,6, , , , ,6, , , , ,3,3,0098,98,1, , , ,NA   ,,2,1, ,0167496,00003338,3338,014.44,14.44,00054300,54300,100.73,100.73,00000778,778,00000879,879,0
2011,0000451965,9,1,1,2,1,00090,90,3,1,34820,45,051,0514.02,2,5,5, , , , ,8, , , , ,2,5,0079,79,0, , , ,NA   ,,2,1, ,0167724,00006972,6972,007.09,7.09,00054300,54300,131.35,131.35,00002375,2375,00002796,2796,0
2011,0000451965,9,2,1,1,1,00122,122,2,1,34820,45,051,0604.02,2,5,3, , , , ,8, , , , ,2,5,0065,65,2, , , ,NA   ,,2,1, ,0167908,00008245,8245,014.21,14.21,00054300,54300,110.63,110.63,00002344,2344,00003014,3014,0
2011,0000451965,9,1,1,3,1,00195,195,3,2,34820,45,051,0401.00,2,2,5, , , , ,5, , , , ,1,2,0179,179,0, , , ,NA   ,,2,1, ,0167913,00012738,12738,020.47,20.47,00054300,54300,102.79,102.79,00004668,4668,00005586,5586,0
2011,0000451965,9,1,1,3,2,00090,90,3,2,34820,45,051,0512.00,2,5,5, , , , ,8, , , , ,2,5,0062,62,0, , , ,NA   ,,2,1, ,0168504,00004127,4127,003.88,3.88,00054300,54300,121.81,121.81,00001277,1277,00003041,3041,0
2011,0000451965,9,1,1,3,1,00145,145,3,1,34820,45,051,0504.00,2,2,5, , , , ,2, , , , ,1,2,0144,144,3, , , ,NA   ,,2,1, ,0169372,00004328,4328,006.03,6.03,00054300,54300,147.11,147.11,00001244,1244,00001691,1691,0
2011,0000451965,9,1,1,3,2,00205,205,3,1,34820,45,051,0501.00,2,2,5, , , , ,5, , , , ,1,2,0240,240,0, , , ,NA   ,,2,1, ,0169927,00002559,2559,005.00,5,00054300,54300,126.54,126.54,00000947,947,00000808,808,0
2011,0000451965,9,1,1,3,1,00067,67,3,1,34820,45,051,0603.00,2,5,5, , , , ,8, , , , ,2,5,0045,45,0, , , ,NA   ,,2,1, ,0170000,00005208,5208,040.73,40.73,00054300,54300,094.72,94.72,00001613,1613,00002114,2114,0
2011,0000451965,9,1,1,3,2,00262,262,3,3,34820,45,051,0405.00,2,2,5, , , , ,5, , , , ,1,2,0182,182,0,4, , ,NA   ,,2,1, ,0170154,00003777,3777,015.78,15.78,00054300,54300,121.12,121.12,00001296,1296,00002988,2988,0
2011,0000451965,9,1,1,3,2,00194,194,3,3,34820,45,051,0504.00,2,2,2, , , , ,2, , , , ,2,1,0150,150,0,4, , ,NA   ,,2,1, ,0170298,00004328,4328,006.03,6.03,00054300,54300,147.11,147.11,00001244,1244,00001691,1691,0
2011,0000451965,9,1,1,3,2,00144,144,3,3,34820,45,051,0501.00,2,2,5, , , , ,5, , , , ,2,1,0067,67,0,7,4, ,NA   ,,2,1, ,0171058,00002559,2559,005.00,5,00054300,54300,126.54,126.54,00000947,947,00000808,808,0
2011,0000451965,9,1,1,3,1,00211,211,3,3,34820,45,051,0503.00,2,2,5, , , , ,5, , , , ,2,1,0090,90,0,4, , ,NA   ,,2,1, ,0171825,00002534,2534,003.51,3.51,00054300,54300,147.87,147.87,00000965,965,00001076,1076,0
2011,0000451965,9,1,1,3,2,00299,299,3,1,34820,45,051,0404.00,2,5,5, , , , ,8, , , , ,2,5,0062,62,3, , , ,NA   ,,2,1, ,0172538,00003417,3417,006.56,6.56,00054300,54300,096.34,96.34,00001086,1086,00002806,2806,0
2011,0000451965,9,1,1,3,1,00045,45,3,1,34820,45,051,0604.02,2,2,5, , , , ,5, , , , ,1,2,0022,22,3, , , ,NA   ,,2,1, ,0173557,00008245,8245,014.21,14.21,00054300,54300,110.63,110.63,00002344,2344,00003014,3014,0
2011,0000451965,9,1,1,1,1,00110,110,2,1,34820,45,051,0516.01,2,2,5, , , , ,5, , , , ,1,2,0045,45,1, , , ,NA   ,,2,1, ,0174089,00004732,4732,020.05,20.05,00054300,54300,098.79,98.79,00001385,1385,00001845,1845,0
2011,0000451965,9,1,1,1,2,00194,194,2,1,34820,45,051,0404.00,2,2,5, , , , ,5, , , , ,1,2,0137,137,1, , , ,NA   ,,2,1, ,0174423,00003417,3417,006.56,6.56,00054300,54300,096.34,96.34,00001086,1086,00002806,2806,0
2011,0000451965,9,1,1,1,2,00152,152,2,1,34820,45,051,0404.00,2,2,5, , , , ,5, , , , ,1,2,0094,94,1, , , ,NA   ,,2,1, ,0175873,00003417,3417,006.56,6.56,00054300,54300,096.34,96.34,00001086,1086,00002806,2806,0
2011,0000451965,9,1,1,1,2,00096,96,2,1,34820,45,051,0707.00,2,2,5, , , , ,5, , , , ,1,2,0093,93,3, , , ,NA   ,,2,1, ,0177126,00008445,8445,022.75,22.75,00054300,54300,087.13,87.13,00002410,2410,00003253,3253,0
2011,0000451965,9,1,1,3,1,00128,128,3,1,34820,45,051,0516.01,2,2,5, , , , ,5, , , , ,2,1,0106,106,1, , , ,NA   ,,2,1, ,0177209,00004732,4732,020.05,20.05,00054300,54300,098.79,98.79,00001385,1385,00001845,1845,0
2011,0000451965,9,1,1,3,1,00280,280,3,1,34820,45,051,0801.00,2,5,5, , , , ,8, , , , ,1,5,0080,80,1, , , ,NA   ,,2,1, ,0177929,00005334,5334,014.53,14.53,00054300,54300,097.16,97.16,00001651,1651,00002278,2278,0
2011,0000451965,9,1,1,1,1,00044,44,2,1,34820,45,051,0801.00,2,5,5, , , , ,8, , , , ,1,5,0037,37,3, , , ,NA   ,,2,1, ,0178344,00005334,5334,014.53,14.53,00054300,54300,097.16,97.16,00001651,1651,00002278,2278,0
2011,0000451965,9,1,1,3,2,00129,129,3,1,34820,45,051,0602.02,2,2,5, , , , ,5, , , , ,1,2,0199,199,1, , , ,NA   ,,2,1, ,0179177,00003338,3338,014.44,14.44,00054300,54300,100.73,100.73,00000778,778,00000879,879,0
2011,0000451965,9,1,1,3,2,00094,94,3,1,34820,45,051,0602.02,2,2,5, , , , ,5, , , , ,1,2,0199,199,1, , , ,NA   ,,2,1, ,0179240,00003338,3338,014.44,14.44,00054300,54300,100.73,100.73,00000778,778,00000879,879,0
2011,0000451965,9,1,1,3,1,00133,133,3,1,34820,45,051,0516.02,2,5,5, , , , ,8, , , , ,2,5,0038,38,1, , , ,NA   ,,2,1, ,0179918,00007371,7371,010.53,10.53,00054300,54300,108.36,108.36,00002824,2824,00003726,3726,0
2011,0000451965,9,1,1,3,1,00225,225,3,2,34820,45,051,0516.01,2,2,5, , , , ,5, , , , ,1,2,0088,88,0, , , ,NA   ,,2,1, ,0180403,00004732,4732,020.05,20.05,00054300,54300,098.79,98.79,00001385,1385,00001845,1845,0
2011,0000451965,9,1,1,3,2,00160,160,3,3,34820,45,051,0505.00,2,2,5, , , , ,5, , , , ,1,2,0229,229,0,4,9, ,NA   ,,2,1, ,0184915,00004568,4568,009.68,9.68,00054300,54300,120.72,120.72,00001230,1230,00001828,1828,0
2011,0000451965,9,1,1,3,1,00063,63,3,2,34820,45,051,0503.00,3,5,6, , , , ,8, , , , ,1,5,0125,125,0, , , ,NA   ,,2,1, ,0185699,00002534,2534,003.51,3.51,00054300,54300,147.87,147.87,00000965,965,00001076,1076,0
2011,0000451965,9,2,1,1,1,00140,140,2,1,34820,45,051,0602.02,2,5,5, , , , ,8, , , , ,1,5,0061,61,2, , , ,NA   ,,2,1, ,0185920,00003338,3338,014.44,14.44,00054300,54300,100.73,100.73,00000778,778,00000879,879,0
2011,0000451965,9,1,1,3,2,00215,215,3,2,34820,45,051,0402.00,2,2,5, , , , ,5, , , , ,1,2,0365,365,0, , , ,NA   ,,2,1, ,0186427,00003428,3428,012.78,12.78,00054300,54300,117.12,117.12,00001202,1202,00003560,3560,0
2011,0000451965,9,1,1,3,1,00124,124,3,1,34820,45,051,0301.00,2,5,5, , , , ,8, , , , ,2,5,0053,53,1, , , ,NA   ,,2,1, ,0188282,00005625,5625,046.15,46.15,00054300,54300,080.07,80.07,00001767,1767,00002300,2300,0
2011,0000451965,9,1,1,1,1,00122,122,2,1,34820,45,051,0602.01,2,5,5, , , , ,8, , , , ,1,5,0125,125,1, , , ,NA   ,,2,1, ,0188582,00007049,7049,011.59,11.59,00054300,54300,107.08,107.08,00001867,1867,00002338,2338,0
2011,0000451965,9,1,1,3,1,00109,109,3,1,34820,45,051,0602.02,2,2,5, , , , ,5, , , , ,1,2,0053,53,3, , , ,NA   ,,2,1, ,0189328,00003338,3338,014.44,14.44,00054300,54300,100.73,100.73,00000778,778,00000879,879,0
2011,0000451965,9,1,1,3,2,00150,150,3,3,34820,45,051,0403.00,2,5,5, , , , ,8, , , , ,2,5,0100,100,0,4, , ,NA   ,,2,1, ,0190489,00002955,2955,003.86,3.86,00054300,54300,116.36,116.36,00001231,1231,00002630,2630,0
2011,0000451965,9,1,1,3,1,00142,142,3,3,34820,45,051,0602.01,2,5,5, , , , ,8, , , , ,1,5,0105,105,0,7, , ,NA   ,,2,1, ,0190985,00007049,7049,011.59,11.59,00054300,54300,107.08,107.08,00001867,1867,00002338,2338,0
